i_episode,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,235.187806957,0.5400000000000001,0.707794854672,1.0643003354,0.0,5.64309463781,4.34991010246,0.01,-0.584579293862,0.386290476591,-4.202200565,-16.0806228644,-3.20697621623,0.0,335.145523344,317.166869436,780.090043647,445.06476398
2,235.010359397,0.5400000000000001,0.762267488283,0.899056652794,0.0,2.13701419008,2.17049340043,0.01,-1.44017910423,-0.275541488221,-4.70890456115,-15.3411811533,-0.303125860657,0.0,285.981854478,346.734845268,787.878800901,487.777072978
3,235.369375814,0.5400000000000001,0.843277075352,1.19067035974,0.0,2.10682366051,1.09969715665,0.01,0.2150346835,1.22015571876,-5.13856324494,-15.864302848,-4.59084793266,0.0,504.003249875,375.27212742,714.410385875,433.266891185
4,235.614055012,0.48000000000000015,1.05065638919,1.13545740038,0.0,0.0921909861903,1.20538332554,0.01,1.27093939981,0.499416356612,-4.76223094277,-17.2201064984,-5.6298869434,0.0,283.791674909,299.907137629,805.685167324,469.885236309
5,235.370288794,0.5400000000000001,1.19724602005,1.04642502479,0.0,5.91941297033,4.12569360529,0.01,2.2293957479,0.141022106037,-5.98494381776,-17.0050378936,-5.32283911674,0.0,379.283578383,354.216501561,733.475527647,511.549341213
6,235.333270718,0.48000000000000015,0.863751645757,0.932790676076,0.0,0.0154238597856,3.76940195155,0.01,-0.560842287074,-0.629508597587,-5.14448322359,-13.2925213007,-6.27258400069,0.0,375.276212838,406.811461086,639.64777667,458.113934972
7,235.491703036,0.48000000000000015,1.03059709685,0.980269280137,0.0,1.74772814646,6.1753514757,0.01,0.825772372158,-0.851174618502,-4.82708757636,-11.8933046831,-2.98779399571,0.0,346.190504425,477.598174971,515.900184512,494.081650434
8,235.643755342,0.48000000000000015,0.782088114829,1.00567097927,0.0,4.68643066577,0.0101567104939,0.01,-0.816391067405,-0.145540857485,-5.3788775558,-15.307430102,-4.99594746429,0.0,367.551446728,324.140072823,762.489246422,353.489839816
9,234.972092641,0.5400000000000001,0.686475933937,0.988576070484,0.0,1.37270442914,2.86584980774,0.01,-1.09709743972,-0.133304378565,-4.30092918925,-26.4297170132,4.18474117623,0.0,293.017012823,460.383821679,858.715095051,109.436296572
10,236.139061408,0.48000000000000015,1.42874387296,1.08393885752,0.0,3.3826494779,2.52860502241,0.01,2.65508832342,-0.0992396291267,-4.83252795615,-27.8224167222,10.2171279761,0.0,403.317508608,613.261798196,887.408765459,53.250937293
11,236.498884113,0.48000000000000015,1.37165693862,1.024062925,0.0,1.63001336737,3.06832139833,0.01,1.67184507998,-0.573256840943,-5.32200557967,-28.4363905075,18.3173983491,0.0,530.345351764,829.478027279,892.893876727,86.9094648449
12,236.8052068,0.6000000000000002,1.96325658742,1.0108890076,0.0,4.20303099748,3.42201822668,0.01,3.11904748515,-0.225138485616,-5.22555153577,-27.3352337412,12.6182196072,0.0,861.792402123,897.001549518,899.892659337,200.01476411
13,237.265053388,1.0800000000000005,1.89345391818,1.21411584451,0.0,1.0492832851,0.34858696884,0.01,3.02585515889,2.7572798675,-5.40466354993,-4.95752705703,8.92504408083,0.0,834.234706516,897.191971897,899.84526229,897.180354334
14,231.468187131,0.5400000000000001,2.72918488718,-0.904209471072,0.0,1.18868418012,5.45225425726,0.01,12.9621255254,-5.14342453248,-4.80374512166,-0.509927215629,3.43758501303,0.0,898.68465718,899.974814139,900.002565727,899.887797528
15,229.683371291,0.4200000000000001,-1.31669435686,0.79444733131,0.0,0.253402828999,3.30764784261,0.01,-9.82289264696,-1.99464543637,-12.2430144895,-0.361453542372,1.86911495203,0.0,888.805239149,898.119187363,899.852461296,896.445369723
16,209.16568839,0.7200000000000003,-8.57373925278,0.875709832292,0.0,0.702886128369,2.44340052341,0.01,-23.7485628705,-2.04295075782,-9.43143019007,-0.927078546774,1.23026591677,0.0,896.924311583,899.729258012,899.984174575,895.596330381
17,-825.115483443,5.0399999999999805,-87.9376745264,-10.1732690742,87.5599816375,5.6572827118,1.42031817661,0.01,-30.3623091294,-5.0388049048,3.18542659377,-0.132038115776,0.225333428844,0.0,899.998497717,900.001338348,899.99867688,899.997723421
18,-360.60590604,5.0399999999999805,-2.67010064969,2.56889610819,128.97595989,6.27409883736,0.0334070259969,0.01,-1.38494520269,0.247418959865,28.1525675163,-0.00312561341034,0.005968563966,0.0,899.999700727,900.000217924,900.001465835,900.001636013
19,7.16624537462,5.0399999999999805,-9.7188041639,2.63589093814,58.3458687364,6.28054880734,1.50744485847,0.01,-7.03823585205,0.352455076824,2.5711106978,-0.00123266157007,1.56394097165,0.0,0.000671155455565,0.000560345687444,900.001984032,900.000640828
20,62.1296779061,5.0399999999999805,-0.825008767793,-14.6419322166,71.6930394924,5.88490706119,0.00672282187975,0.01,-0.583828322789,-9.37125040087,15.2151066446,-0.0852009116981,-0.000666615781553,0.0,-0.00239062136472,0.000914006459812,900.000181544,899.997294522
21,91.3472123095,5.0399999999999805,-0.985144274311,2.00571703902,73.7833433296,6.27717252812,0.00998409785574,0.01,-0.675855188778,0.162936575186,17.222269758,-0.00215707823251,-3.19954454092e-06,0.0,0.00039212430192,-7.26221458756e-06,900.001824903,899.999309718
22,92.6788953372,5.0399999999999805,-0.985866345598,2.52014946548,73.7790929348,6.28093922654,0.0099980187839,0.01,-0.676297820328,0.381166630972,17.2214819343,-0.00197027254875,-3.96147502311e-07,0.0,0.00017392942055,0.000642954640665,899.996738981,900.000247286
23,93.552367037,5.0399999999999805,-0.985681089435,3.03670504158,73.767533925,0.0142141117559,0.00999648823708,0.01,-0.676191753009,0.725640063758,17.2135302515,0.00115579602384,-7.0246966731e-07,0.0,0.00118568271632,0.000926578418616,900.002004159,899.998361646
24,106.112308671,5.0399999999999805,1.27954583843,2.63907611258,66.205894188,0.00723739915855,5.7687764114,0.01,-0.125516406771,0.465632685265,5.6226747069,0.00100559742178,-28.8355181051,0.0,899.999225542,-0.00125430416024,900.000978371,900.002729369
25,236.477765997,0.5400000000000001,1.3477347737,1.00044804395,0.0,0.0097723441513,0.101381469752,0.01,0.672250750215,-0.00974530886528,-6.38196495048,-0.000500459434495,-28.8029713491,0.0,899.573257545,-0.000515018364064,899.99980017,899.998383839
26,236.526127979,0.6600000000000003,0.978514494101,1.01062244483,0.0,0.00973838429401,4.6443056418,0.01,0.137461278561,0.0383608387381,-2.62905658455,-0.00179130722898,-28.7350716912,0.0,895.11594642,0.00453531126968,899.989228063,899.932468397
27,236.100116468,0.7800000000000004,0.397364802871,1.01910015059,0.0,0.0097027454367,2.74139358187,0.01,-0.461864426854,0.028284274678,-4.88852101308,-0.000704916426657,-28.8318659857,0.0,899.982810583,0.000272946595649,900.001504958,899.998344661
28,234.56202087,0.7200000000000003,-0.161644791538,1.01276020476,0.0,0.0099775950959,5.2103863196,0.01,-3.71913805339,0.029249330142,-4.24554404024,-0.00208962312761,-28.6814380882,0.0,892.063136986,0.00607319075524,899.982065465,899.883854092
29,234.357738356,0.6600000000000003,-0.25707411387,1.0108040448,0.0,0.00966783028555,0.204030704206,0.01,-4.53429063824,0.0149039011095,-5.0905188678,-0.000993413171538,-28.8146689226,0.0,899.203146266,-0.000629466896216,900.000705217,900.000524073
30,234.293304733,0.6000000000000002,-0.164114628987,1.00717111324,0.0,0.00989994761442,2.39437703207,0.01,-2.45370133925,0.00298041241501,-5.67828090646,-1.78754241695e-05,-28.8204266161,0.0,899.965674578,0.00146190637613,899.999718269,900.00179722
31,234.230656968,0.6000000000000002,-0.170329982118,1.00692749268,0.0,0.00989488118833,2.42515502296,0.01,-2.43486617837,0.00244402276022,-5.732867431,-1.91100643596e-05,-28.8201641395,0.0,899.958862415,0.00462234391821,899.998644252,899.99945785
32,233.831450657,0.6600000000000003,-0.328740862183,1.00880925919,0.0,0.00986678062516,0.462590100909,0.01,-4.48560329012,0.00568426297667,-6.02705229106,-0.000245855922015,-28.8146755812,0.0,899.187750632,-0.000182558301571,899.999648726,899.99909455
33,233.901273735,0.7200000000000003,-0.396229367158,1.01426430688,0.0,0.00978903432317,4.50683016314,0.01,-3.27594164169,0.0383375478547,-3.28811575543,-0.000441553380105,-28.8138825522,0.0,899.394047119,-0.00230774599996,900.000764769,899.999138751
34,235.162238484,0.6600000000000003,0.0363505288402,1.01118022414,0.0,0.00987957789475,0.530447863076,0.01,-3.73203043599,0.00798549696917,-5.77321752405,-0.000196038802002,-28.8223856979,0.0,899.564307172,-0.00109733472067,900.002013446,900.003047292
35,236.256676455,0.7200000000000003,0.439449585505,1.01511938539,0.0,0.00973708383953,4.44984547865,0.01,-1.78587588779,0.0392670711146,-3.15691502195,-0.000433486718257,-28.8227819458,0.0,899.66071318,-0.000695449953813,900.000869344,900.00003916
